Yr^AccountId^Name1^DepreciationRate^Amount^Code
1998^FEEDEQ^FEEDING SYSTEM EQUIPMENT^0.1^18,468.12^ADDITION
1998^FOWLCAGES^FOWL CAGES^0.15^127,414.2^ADDITION
1998^KUBTRA^KUBUTA TRACTOR^0.2^5,450^ADDITION
1998^POUHOU^POULTRY HOUSES^0.15^385,878.66^ADDITION
1998^FRIGE^REFRIGERATOR^0.1^2,900^ADDITION
1998^WATPUM^WATER PUMP^0.1^2,400^ADDITION
1999^AIRCON4^AIR CONDITIONER NO. 4^0.1^3,800^ADDITION
1999^AIRCON5^AIR CONDITIONER NO. 5^0.1^3,100^ADDITION
1999^HANPHO2^ALCATEL HANDPHONE 012-5150266^0.1^850^ADDITION
1999^HANPHO1^ALCATEL HANDPHONE 012-5150277^0.1^850^ADDITION
1999^ELEFAN^ELECTRIC FAN^0.1^1,680^ADDITION
1999^FARMEQ^FARMING EQUIPMENT^0.1^6,418^ADDITION
1999^FOWLCAGES^FOWL CAGES^0.15^125,845.8^ADDITION
1999^LORADW7236^LORRY ADW 7236^0.2^56,000^ADDITION
1999^POUHOU^POULTRY HOUSES^0.15^285,624.21^ADDITION
2000^AIRCON6^AIR CONDITIONER NO. 6^0.1^3,700^ADDITION
2000^COMP1^COMPUTER NO. 1^0.2^8,440^ADDITION
2000^COMP2^COMPUTER NO. 2^0.2^3,440^ADDITION
2000^FACBUI^FACTORY BUILDING^0.02^72,465.76^ADDITION
2000^FARMEQ^FARMING EQUIPMENT^0.1^1,380^ADDITION
2000^FEEDEQ^FEEDING SYSTEM EQUIPMENT^0.1^1,760^ADDITION
2000^FOWLCAGES^FOWL CAGES^0.15^8,407^ADDITION
2000^MOTAEB5118^MOTORCYCLE AEB 5118^0.2^4,578^ADDITION
2000^OFFFUR^OFFICE FURNITURE^0.05^1,070^ADDITION
2000^POUHOU^POULTRY HOUSES^0.15^246,350.91^ADDITION
2000^WATSUPEQ^WATER SUPPLY EQUIPMENT^0.1^16,000^ADDITION
2001^HANDPHO3^ALCATEL HANDPHONE 012-5127961^0.1^550^ADDITION
2001^COMP2^COMPUTER NO. 2^0.2^1,380^ADDITION
2001^ELEINST^ELECTRICAL INSTALLATION^0.1^7,705^ADDITION
2001^ELESCALE^ELECTRONIC PIG SCALE^0.1^5,200^ADDITION
2001^FACBUI^FACTORY BUILDING^0.02^637,733.12^ADDITION
2001^FARMEQ^FARMING EQUIPMENT^0.1^12,169^ADDITION
2001^FOWLCAGES^FOWL CAGES^0.15^47,188.28^ADDITION
2001^HORMIX1^HORIZONTAL MIXER^0.1^50,000^ADDITION
2001^PIGSTY^PIGSTY^0.1^137,863.88^ADDITION
2001^POUHOU^POULTRY HOUSES^0.15^179,182.3^ADDITION
2001^WATSUPEQ^WATER SUPPLY EQUIPMENT^0.1^1,753.61^ADDITION
2002^AIRCON7^AIR CONDITIONER NO. 7^0.1^4,080^ADDITION
2002^ATCDRYER^ATC AIR REFRIGERATOR & DRYER^0.1^3,100^ADDITION
2002^EGGGRMAC4^EGG GRADING MACHINE NO. 4^0.1^574,693^ADDITION
2002^ELEINST^ELECTRICAL INSTALLATION^0.1^78,140^ADDITION
2002^EQU^EQUIPMENT^0.1^2,256^ADDITION
2002^FACBUI^FACTORY BUILDING^0.02^112,743.98^ADDITION
2002^FARMEQ^FARMING EQUIPMENT^0.1^22,069^ADDITION
2002^FEEDEQ^FEEDING SYSTEM EQUIPMENT^0.1^11,215^ADDITION
2002^FOWLCAGES^FOWL CAGES^0.15^30,896.1^ADDITION
2002^OFFFUR^OFFICE FURNITURE^0.05^6,301^ADDITION
2002^PIGSTY^PIGSTY^0.1^258,618.65^ADDITION
2002^POUHOU^POULTRY HOUSES^0.15^198,066^ADDITION
2002^SWCOM^SWAN AIR COMPRESSIOR^0.1^2,400^ADDITION
2002^WATSUPEQ^WATER SUPPLY EQUIPMENT^0.1^56,443.4^ADDITION
2003^ELEINST^ELECTRICAL INSTALLATION^0.1^5,830^ADDITION
2003^EQU^EQUIPMENT^0.1^11,005.5^ADDITION
2003^FARMEQ^FARMING EQUIPMENT^0.1^10,326^ADDITION
2003^FOWLCAGES^FOWL CAGES^0.15^102,593^ADDITION
2003^KUBTRA109608^KUBOTA TRACTOR L 1501 109608^0.2^3,500^ADDITION
2003^AEW7236^LORRY AEW 7236^0.2^72,698.32^ADDITION
2003^OFFFUR^OFFICE FURNITURE^0.05^95^ADDITION
2003^PIGSTY^PIGSTY^0.1^183,149.99^ADDITION
2003^POUHOU^POULTRY HOUSES^0.15^583,601.19^ADDITION
2003^WATSTEL^STAINLESS STEEL WATER TANK^0.1^10,000^ADDITION
2003^WATSUPEQ^WATER SUPPLY EQUIPMENT^0.1^57,300^ADDITION
2004^ELEINST^ELECTRICAL INSTALLATION^0.1^13,550^ADDITION
2004^FARMEQ^FARMING EQUIPMENT^0.1^21,665^ADDITION
2004^FOWLCAGES^FOWL CAGES^0.15^128,458^ADDITION
2004^KUBTRA14275^KUBOTA TRACTOR L1500-14275^0.2^4,500^ADDITION
2004^KUBTRA32656^KUBOTA TRACTOR L1500-32656^0.2^4,500^ADDITION
2004^KUBTRA51575^KUBOTA TRACTOR L1500-51575^0.2^5,000^ADDITION
